,Unnamed: 0,train,val,test
61,61,tumor_045,,test_074
62,62,normal_029,,test_120
63,63,normal_144,,test_122
64,64,normal_117,,test_001
65,65,normal_084,,test_025
66,66,tumor_049,,test_040
67,67,tumor_076,,test_098
68,68,tumor_077,,test_067
69,69,normal_129,,test_030
70,70,tumor_097,,test_042
71,71,normal_024,,test_090
72,72,tumor_102,,test_011
73,73,tumor_064,,test_053
74,74,normal_031,,test_129
75,75,normal_133,,test_109
76,76,tumor_069,,test_092
77,77,normal_124,,test_034
78,78,normal_080,,test_116
79,79,tumor_083,,test_008
80,80,normal_127,,test_077
81,81,tumor_101,,test_099
82,82,tumor_070,,test_029
83,83,normal_156,,test_121
84,84,normal_078,,test_016
85,85,normal_014,,test_088
86,86,tumor_082,,test_071
87,87,normal_012,,test_051
88,88,tumor_046,,test_106
89,89,normal_157,,test_058
90,90,tumor_019,,test_019
91,91,normal_008,,test_066
92,92,normal_004,,test_033
93,93,tumor_040,,test_084
94,94,normal_120,,test_012
95,95,tumor_028,,test_085
96,96,normal_046,,test_015
97,97,tumor_001,,test_117
98,98,tumor_062,,test_046
99,99,normal_139,,test_095
100,100,tumor_014,,test_073
101,101,normal_113,,test_113
102,102,normal_007,,test_026
103,103,normal_071,,test_021
104,104,normal_051,,test_054
105,105,tumor_095,,test_052
106,106,tumor_061,,test_124
107,107,tumor_108,,test_094
108,108,normal_159,,test_014
109,109,normal_058,,test_007
110,110,tumor_021,,test_065
111,111,normal_140,,test_041
112,112,normal_074,,test_126
113,113,normal_021,,test_123
114,114,normal_039,,test_125
115,115,normal_035,,test_002
116,116,normal_002,,test_059
117,117,tumor_058,,test_035
118,118,normal_151,,test_044
119,119,normal_038,,test_061
120,120,normal_108,,test_128
121,121,normal_036,,test_130
122,122,tumor_042,,test_028
123,123,tumor_011,,test_081
124,124,normal_149,,test_115
125,125,normal_136,,test_086
126,126,normal_057,,test_050
127,127,normal_073,,test_038
128,128,tumor_059,,test_045
129,129,normal_119,,
130,130,normal_003,,
131,131,tumor_026,,
132,132,tumor_031,,
133,133,tumor_034,,
134,134,tumor_089,,
135,135,tumor_039,,
136,136,normal_138,,
137,137,normal_135,,
138,138,normal_110,,
139,139,tumor_055,,
140,140,tumor_090,,
141,141,normal_010,,
142,142,tumor_013,,
143,143,normal_106,,
144,144,normal_091,,
145,145,normal_155,,
146,146,normal_150,,
147,147,normal_019,,
148,148,tumor_093,,
149,149,tumor_078,,
150,150,normal_148,,
151,151,normal_034,,
152,152,tumor_109,,
153,153,normal_098,,
154,154,normal_016,,
155,155,normal_062,,
156,156,normal_060,,
157,157,normal_042,,
158,158,normal_001,,
159,159,normal_152,,
160,160,tumor_074,,
161,161,normal_123,,
162,162,normal_116,,
163,163,tumor_022,,
164,164,normal_061,,
165,165,normal_082,,
166,166,tumor_094,,
167,167,normal_121,,
168,168,normal_109,,
169,169,normal_068,,
170,170,normal_064,,
171,171,normal_028,,
172,172,normal_089,,
173,173,normal_020,,
174,174,tumor_099,,
175,175,tumor_053,,
176,176,normal_009,,
177,177,normal_102,,
178,178,normal_044,,
179,179,normal_122,,
180,180,normal_130,,
181,181,normal_027,,
182,182,tumor_092,,
183,183,normal_126,,
184,184,normal_075,,
185,185,tumor_100,,
186,186,normal_097,,
187,187,tumor_057,,
188,188,tumor_068,,
189,189,normal_088,,
190,190,normal_145,,
191,191,normal_118,,
192,192,normal_006,,
193,193,tumor_041,,
194,194,normal_142,,
195,195,normal_112,,
196,196,tumor_035,,
197,197,tumor_106,,
198,198,tumor_086,,
199,199,tumor_043,,
200,200,tumor_066,,
201,201,normal_026,,
202,202,normal_146,,
203,203,tumor_006,,
204,204,tumor_096,,
205,205,normal_065,,
206,206,tumor_087,,
207,207,tumor_015,,
208,208,normal_049,,
209,209,normal_053,,
210,210,tumor_017,,
211,211,tumor_032,,
212,212,normal_015,,
213,213,normal_048,,
214,214,normal_052,,
215,215,tumor_048,,
216,216,normal_070,,
217,217,normal_111,,
218,218,normal_099,,
219,219,tumor_016,,
220,220,tumor_027,,
221,221,normal_095,,
222,222,tumor_088,,
223,223,normal_018,,
224,224,tumor_020,,
225,225,tumor_007,,
226,226,tumor_033,,
227,227,normal_103,,
228,228,normal_104,,
229,229,normal_134,,
230,230,normal_154,,
231,231,tumor_047,,
232,232,normal_076,,
233,233,tumor_009,,
234,234,normal_093,,
235,235,normal_040,,
236,236,normal_050,,
237,237,tumor_008,,
238,238,normal_158,,
239,239,normal_033,,
240,240,normal_090,,
241,241,tumor_107,,
242,242,normal_137,,
