,Unnamed: 0,train,val,test
233,233,normal_093,,
234,234,normal_040,,
235,235,normal_105,,
236,236,normal_050,,
237,237,tumor_008,,
238,238,normal_158,,
239,239,normal_033,,
240,240,normal_090,,
241,241,tumor_107,,
242,242,normal_137,,
